nodes,techs,timesteps,storage
region2,battery,2005-01-03 03:00:00,5239.2461
region2,battery,2005-01-03 04:00:00,5239.2461
region2,battery,2005-01-03 05:00:00,5239.2461
region2,battery,2005-01-03 06:00:00,5239.2461
region2,battery,2005-01-03 07:00:00,5239.2461
region2,battery,2005-01-03 08:00:00,5239.2461
region2,battery,2005-01-03 09:00:00,5239.2461
region2,battery,2005-01-03 10:00:00,5239.2461
region2,battery,2005-01-03 11:00:00,5239.2461
region2,battery,2005-01-03 12:00:00,5239.2461
region2,battery,2005-01-03 13:00:00,5239.2461
region2,battery,2005-01-03 14:00:00,5239.2461
region2,battery,2005-01-03 15:00:00,4186.6145
region2,battery,2005-01-03 16:00:00,3133.9829
region2,battery,2005-01-03 17:00:00,2081.3513
region2,battery,2005-01-03 18:00:00,1375.6819
region2,battery,2005-01-03 19:00:00,1375.6819
region2,battery,2005-01-03 20:00:00,1492.4863
region2,battery,2005-01-03 21:00:00,1765.028
region2,battery,2005-01-03 22:00:00,2232.2418
region2,battery,2005-01-03 23:00:00,2660.5208
region2,battery,2005-01-04 00:00:00,3127.7346
region2,battery,2005-01-04 01:00:00,3711.7509
region2,battery,2005-01-04 02:00:00,4334.702
region2,battery,2005-01-04 03:00:00,4918.7183
region2,battery,2005-01-04 04:00:00,5239.2461
region2,battery,2005-01-04 05:00:00,5239.2461
region2,battery,2005-01-04 06:00:00,5239.2461
region2,battery,2005-01-04 07:00:00,5239.2461
region2,battery,2005-01-04 08:00:00,5239.2461
region2,battery,2005-01-04 09:00:00,5180.9951
region2,battery,2005-01-04 10:00:00,5239.2461
region2,battery,2005-01-04 11:00:00,5239.2461
region2,battery,2005-01-04 12:00:00,5239.2461
region2,battery,2005-01-04 13:00:00,5239.2461
region2,battery,2005-01-04 14:00:00,4876.1257
region2,battery,2005-01-04 15:00:00,3823.4941
region2,battery,2005-01-04 16:00:00,2770.8625
region2,battery,2005-01-04 17:00:00,1718.2309
region2,battery,2005-01-04 18:00:00,665.59934
region2,battery,2005-01-04 19:00:00,665.59934
region2,battery,2005-01-04 20:00:00,782.40374
region2,battery,2005-01-04 21:00:00,1054.9454
region2,battery,2005-01-04 22:00:00,1522.1592
region2,battery,2005-01-04 23:00:00,1950.4382
region2,battery,2005-01-05 00:00:00,2417.652
region2,battery,2005-01-05 01:00:00,3001.6683
region2,battery,2005-01-05 02:00:00,3624.6194
region2,battery,2005-01-05 03:00:00,4208.6357
region2,battery,2005-01-05 04:00:00,4753.7172
region2,battery,2005-01-05 05:00:00,5239.2461
