nodes,techs,carriers,timesteps,flow_in
X1,X1_to_X2,electricity,2005-07-02 17:00:00,249.40765
X1,X1_to_X2,electricity,2005-07-02 18:00:00,251.61239
X1,X1_to_X2,electricity,2005-07-02 19:00:00,274.5117
X1,X1_to_X2,electricity,2005-07-02 20:00:00,250.42077
X1,X1_to_X2,electricity,2005-07-02 21:00:00,200.28669
X1,X1_to_X2,electricity,2005-07-02 22:00:00,138.05025
X1,X1_to_X2,electricity,2005-07-02 23:00:00,105.85873
X1,X1_to_X3,electricity,2005-07-01 00:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-01 01:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-01 02:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-01 03:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-01 04:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-01 05:00:00,28.443801
X1,X1_to_X3,electricity,2005-07-01 06:00:00,27.105415
X1,X1_to_X3,electricity,2005-07-01 07:00:00,45.778336
X1,X1_to_X3,electricity,2005-07-01 08:00:00,41.133124
X1,X1_to_X3,electricity,2005-07-01 09:00:00,34.815985
X1,X1_to_X3,electricity,2005-07-01 10:00:00,33.423324
X1,X1_to_X3,electricity,2005-07-01 11:00:00,32.286185
X1,X1_to_X3,electricity,2005-07-01 12:00:00,34.999154
X1,X1_to_X3,electricity,2005-07-01 13:00:00,11.7342
X1,X1_to_X3,electricity,2005-07-01 14:00:00,12.461858
X1,X1_to_X3,electricity,2005-07-01 15:00:00,17.00344
X1,X1_to_X3,electricity,2005-07-01 16:00:00,13.01017
X1,X1_to_X3,electricity,2005-07-01 17:00:00,13.60424
X1,X1_to_X3,electricity,2005-07-01 18:00:00,18.445718
X1,X1_to_X3,electricity,2005-07-01 19:00:00,20.312191
X1,X1_to_X3,electricity,2005-07-01 20:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-01 21:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-01 22:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-01 23:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-02 00:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-02 01:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-02 02:00:00,19.145829
