nodes,techs,carriers,timesteps,flow_out_inc_eff
X1,chp,electricity,2005-07-02 22:00:00,390.1784938271605
X1,chp,electricity,2005-07-02 23:00:00,310.03471604938267
X1,chp,heat,2005-07-01 00:00:00,92.86136
X1,chp,heat,2005-07-01 01:00:00,78.466297
X1,chp,heat,2005-07-01 02:00:00,78.876806
X1,chp,heat,2005-07-01 03:00:00,78.877367
X1,chp,heat,2005-07-01 04:00:00,83.204646
X1,chp,heat,2005-07-01 05:00:00,144.46112
X1,chp,heat,2005-07-01 06:00:00,177.02205
X1,chp,heat,2005-07-01 07:00:00,208.75736
X1,chp,heat,2005-07-01 08:00:00,208.75736
X1,chp,heat,2005-07-01 09:00:00,208.75736
X1,chp,heat,2005-07-01 10:00:00,175.72102
X1,chp,heat,2005-07-01 11:00:00,175.02222
X1,chp,heat,2005-07-01 12:00:00,167.75501
X1,chp,heat,2005-07-01 13:00:00,148.14625
X1,chp,heat,2005-07-01 14:00:00,157.63307
X1,chp,heat,2005-07-01 15:00:00,183.0747
X1,chp,heat,2005-07-01 16:00:00,156.95916
X1,chp,heat,2005-07-01 17:00:00,208.75736
X1,chp,heat,2005-07-01 18:00:00,208.75736
X1,chp,heat,2005-07-01 19:00:00,208.75736
X1,chp,heat,2005-07-01 20:00:00,208.75736
X1,chp,heat,2005-07-01 21:00:00,183.91002
X1,chp,heat,2005-07-01 22:00:00,126.37157
X1,chp,heat,2005-07-01 23:00:00,93.102201
X1,chp,heat,2005-07-02 00:00:00,99.42194
X1,chp,heat,2005-07-02 01:00:00,85.762778
X1,chp,heat,2005-07-02 02:00:00,84.491227
X1,chp,heat,2005-07-02 03:00:00,86.384106
X1,chp,heat,2005-07-02 04:00:00,89.870355
X1,chp,heat,2005-07-02 05:00:00,134.41442
X1,chp,heat,2005-07-02 06:00:00,171.4594
X1,chp,heat,2005-07-02 07:00:00,199.0122
X1,chp,heat,2005-07-02 08:00:00,191.30307
X1,chp,heat,2005-07-02 09:00:00,183.35211
X1,chp,heat,2005-07-02 10:00:00,172.26653
X1,chp,heat,2005-07-02 11:00:00,140.57662
X1,chp,heat,2005-07-02 12:00:00,127.85447
X1,chp,heat,2005-07-02 13:00:00,127.41091
X1,chp,heat,2005-07-02 14:00:00,147.20084
X1,chp,heat,2005-07-02 15:00:00,174.12701
X1,chp,heat,2005-07-02 16:00:00,155.27302
X1,chp,heat,2005-07-02 17:00:00,208.75736
X1,chp,heat,2005-07-02 18:00:00,208.75736
X1,chp,heat,2005-07-02 19:00:00,208.75736
X1,chp,heat,2005-07-02 20:00:00,208.75736
X1,chp,heat,2005-07-02 21:00:00,176.42548
X1,chp,heat,2005-07-02 22:00:00,126.41783
X1,chp,heat,2005-07-02 23:00:00,100.45125
X1,pv,electricity,2005-07-01 00:00:00,0.0
X1,pv,electricity,2005-07-01 01:00:00,0.0
X1,pv,electricity,2005-07-01 02:00:00,0.0
X1,pv,electricity,2005-07-01 03:00:00,0.0
X1,pv,electricity,2005-07-01 04:00:00,0.0
X1,pv,electricity,2005-07-01 05:00:00,0.0
X1,pv,electricity,2005-07-01 06:00:00,0.0
X1,pv,electricity,2005-07-01 07:00:00,0.0
X1,pv,electricity,2005-07-01 08:00:00,0.0
X1,pv,electricity,2005-07-01 09:00:00,0.0
X1,pv,electricity,2005-07-01 10:00:00,0.0
X1,pv,electricity,2005-07-01 11:00:00,0.0
X1,pv,electricity,2005-07-01 12:00:00,0.0
X1,pv,electricity,2005-07-01 13:00:00,0.0
X1,pv,electricity,2005-07-01 14:00:00,0.0
X1,pv,electricity,2005-07-01 15:00:00,0.0
X1,pv,electricity,2005-07-01 16:00:00,0.0
X1,pv,electricity,2005-07-01 17:00:00,0.0
X1,pv,electricity,2005-07-01 18:00:00,0.0
X1,pv,electricity,2005-07-01 19:00:00,0.0
X1,pv,electricity,2005-07-01 20:00:00,0.0
X1,pv,electricity,2005-07-01 21:00:00,0.0
X1,pv,electricity,2005-07-01 22:00:00,0.0
X1,pv,electricity,2005-07-01 23:00:00,0.0
X1,pv,electricity,2005-07-02 00:00:00,0.0
X1,pv,electricity,2005-07-02 01:00:00,0.0
X1,pv,electricity,2005-07-02 02:00:00,0.0
X1,pv,electricity,2005-07-02 03:00:00,0.0
X1,pv,electricity,2005-07-02 04:00:00,0.0
X1,pv,electricity,2005-07-02 05:00:00,0.0
X1,pv,electricity,2005-07-02 06:00:00,0.0
X1,pv,electricity,2005-07-02 07:00:00,0.0
X1,pv,electricity,2005-07-02 08:00:00,0.0
X1,pv,electricity,2005-07-02 09:00:00,0.0
X1,pv,electricity,2005-07-02 10:00:00,0.0
X1,pv,electricity,2005-07-02 11:00:00,0.0
X1,pv,electricity,2005-07-02 12:00:00,0.0
X1,pv,electricity,2005-07-02 13:00:00,0.0
X1,pv,electricity,2005-07-02 14:00:00,0.0
X1,pv,electricity,2005-07-02 15:00:00,0.0
X1,pv,electricity,2005-07-02 16:00:00,0.0
X1,pv,electricity,2005-07-02 17:00:00,0.0
X1,pv,electricity,2005-07-02 18:00:00,0.0
X1,pv,electricity,2005-07-02 19:00:00,0.0
X1,pv,electricity,2005-07-02 20:00:00,0.0
X1,pv,electricity,2005-07-02 21:00:00,0.0
X1,pv,electricity,2005-07-02 22:00:00,0.0
X1,pv,electricity,2005-07-02 23:00:00,0.0
X1,supply_gas,gas,2005-07-01 00:00:00,286.60914
X1,supply_gas,gas,2005-07-01 01:00:00,242.17993
X1,supply_gas,gas,2005-07-01 02:00:00,243.44693
X1,supply_gas,gas,2005-07-01 03:00:00,243.44866
X1,supply_gas,gas,2005-07-01 04:00:00,256.80446
X1,supply_gas,gas,2005-07-01 05:00:00,445.86764
X1,supply_gas,gas,2005-07-01 06:00:00,546.36434
X1,supply_gas,gas,2005-07-01 07:00:00,644.31283
X1,supply_gas,gas,2005-07-01 08:00:00,644.31283
X1,supply_gas,gas,2005-07-01 09:00:00,644.31283
X1,supply_gas,gas,2005-07-01 10:00:00,542.34884
X1,supply_gas,gas,2005-07-01 11:00:00,540.19204
X1,supply_gas,gas,2005-07-01 12:00:00,517.76237
